user,item,rank
121,236170,2
121,234192,3
121,209348,4
121,202299,5
122,286077,1
122,208508,2
122,234633,3
122,255616,4
122,285587,5
123,224458,1
123,282785,2
123,203401,3
123,283642,4
123,209348,5
124,286077,1
124,283642,2
124,285908,3
124,284478,4
124,333959,5
125,119270,1
125,118495,2
125,119273,3
125,118914,4
125,118918,5
126,254567,1
126,255928,2
126,254491,3
126,255629,4
126,255735,5
127,202299,1
127,202455,2
127,205845,3
127,282785,4
127,203313,5
128,280868,1
128,286077,2
128,283026,3
128,284672,4
128,283239,5
129,208508,1
129,234633,2
129,205845,3
129,205926,4
129,202299,5
130,285023,1
130,207921,2
130,283458,3
130,235639,4
130,205845,5
131,202370,1
131,205926,2
131,205845,3
131,207141,4
131,202299,5
132,288249,1
132,288940,2
132,288270,3
132,288583,4
132,288389,5
133,177657,1
133,177270,2
133,177920,3
133,177168,4
133,176910,5
134,283642,1
134,286108,2
134,255616,3
134,286077,4
134,352757,5
135,234633,1
135,205926,2
135,202299,3
135,236170,4
135,156355,5
136,292912,1
136,292899,2
136,292942,3
136,292620,4
136,292980,5
137,285384,1
137,283026,2
137,283239,3
137,280868,4
137,283689,5
138,15947,1
138,14644,2
138,15023,3
138,15948,4
138,70986,5
139,237752,1
139,236688,2
139,100925,3
139,234268,4
139,236482,5
140,353114,1
140,123826,2
140,129482,3
140,283642,4
140,124755,5
141,119231,1
141,156355,2
141,119226,3
141,209359,4
141,159299,5
142,224952,1
142,224023,2
142,224975,3
142,225855,4
142,225463,5
143,159944,1
143,202299,2
143,157865,3
143,162270,4
143,156843,5
144,58664,1
144,203454,2
144,203313,3
144,205876,4
144,202299,5
145,205876,1
145,285908,2
145,207758,3
145,208231,4
145,236170,5
146,209348,1
146,285908,2
146,208508,3
146,282750,4
146,206570,5
147,237452,1
147,235639,2
147,234195,3
147,234022,4
147,236189,5
148,237429,1
148,233446,2
148,236681,3
148,236527,4
148,236988,5
149,280868,1
149,156713,2
149,123957,3
149,286077,4
149,284845,5
150,79800,1
150,85013,2
150,83799,3
150,83894,4
150,83572,5
151,236681,1
151,237429,2
151,237452,3
151,15755,4
151,235961,5
152,205926,1
152,202455,2
152,203313,3
152,205845,4
152,202370,5
153,282750,1
153,156355,2
153,208508,3
153,285587,4
153,234633,5
154,336254,1
154,353114,2
154,338164,3
154,285587,4
154,284478,5
155,162369,1
155,159495,2
155,157865,3
155,159299,4
155,159944,5
156,272733,1
156,271919,2
156,272172,3
156,270399,4
156,270850,5
157,123957,1
157,123960,2
157,123953,3
157,124546,4
157,124598,5
158,283026,1
158,285524,2
158,337166,3
158,292620,4
158,285446,5
159,282785,1
159,108853,2
159,206570,3
159,208480,4
159,283642,5
160,272999,1
160,285347,2
160,156713,3
160,336664,4
160,298562,5
161,284452,1
161,285384,2
161,280868,3
161,284672,4
161,282741,5
162,237452,1
162,236681,2
162,235443,3
162,235961,4
162,237429,5
163,123957,1
163,124716,2
163,133449,3
163,336660,4
163,336664,5
164,237429,1
164,237257,2
164,235325,3
164,234022,4
164,236266,5
165,108966,1
165,108856,2
165,108857,3
165,108855,4
165,108859,5
166,202436,1
166,208480,2
166,202299,3
166,205926,4
166,206402,5
167,205926,1
167,207921,2
167,206404,3
167,205360,4
167,207141,5
168,337263,1
168,336254,2
168,336631,3
168,337830,4
168,336575,5
169,255683,1
169,183690,2
169,255340,3
169,255207,4
169,194622,5
170,59531,1
170,285587,2
170,280868,3
170,293460,4
170,255930,5
171,119273,1
171,118967,2
171,118918,3
171,119008,4
171,119108,5
172,123368,1
172,124755,2
172,123960,3
172,123953,4
172,123963,5
173,271558,1
173,271819,2
173,272733,3
173,273327,4
173,270850,5
174,128724,1
174,145751,2
174,145493,3
174,145349,4
174,145237,5
175,162369,1
175,159034,2
175,159495,3
175,157865,4
175,161100,5
176,57850,1
176,59608,2
176,272647,3
176,132785,4
176,133159,5
177,282750,1
177,284547,2
177,255616,3
177,285587,4
177,285435,5
178,285722,1
178,283026,2
178,321332,3
178,285384,4
178,284845,5
179,242260,1
179,242633,2
179,242882,3
179,242527,4
179,234813,5
180,202388,1
180,202299,2
180,203454,3
180,107261,4
180,106963,5
181,96672,1
181,96210,2
181,95977,3
181,96418,4
181,96244,5
182,230814,1
182,285056,2
182,236266,3
182,282750,4
182,236189,5
183,282785,1
183,205926,2
183,283642,3
183,69859,4
183,205845,5
184,236170,1
184,206162,2
184,234633,3
184,202299,4
184,208508,5
185,203313,1
185,202299,2
185,205845,3
185,208480,4
185,202388,5
186,168406,1
186,123826,2
186,156713,3
186,124755,4
186,157973,5
187,341771,1
187,118683,2
187,162725,3
187,95868,4
187,96106,5
188,83799,1
188,124598,2
188,124617,3
188,123368,4
188,353433,5
189,280868,1
189,353114,2
189,352757,3
189,286077,4
189,255616,5
190,205845,1
190,205926,2
190,207141,3
190,202299,4
190,206402,5
191,208480,1
191,206402,2
191,285908,3
191,209348,4
191,205926,5
192,100925,1
192,235961,2
192,237278,3
192,234633,4
192,234192,5
193,285446,1
193,337854,2
193,333959,3
193,336476,4
193,206570,5
194,315628,1
194,310704,2
194,312870,3
194,309528,4
194,312545,5
195,118443,1
195,118918,2
195,119231,3
195,118967,4
195,118778,5
196,205845,1
196,202299,2
196,205926,3
196,208480,4
196,206402,5
197,108966,1
197,108856,2
197,108857,3
197,108851,4
197,108855,5
198,337051,1
198,353114,2
198,336254,3
198,336664,4
198,336698,5
199,255616,1
199,285384,2
199,285435,3
199,284474,4
199,285347,5
200,211442,1
200,300560,2
200,159495,3
200,157541,4
200,213947,5
201,284452,1
201,255616,2
201,283736,3
201,286077,4
201,283239,5
202,97495,1
202,97567,2
202,96581,3
202,95648,4
202,96126,5
203,285587,1
203,283026,2
203,283239,3
203,286077,4
203,285331,5
204,108966,1
204,108856,2
204,108851,3
204,108855,4
204,293002,5
205,124546,1
205,123368,2
205,124617,3
205,123960,4
205,124755,5
206,205926,1
206,206768,2
206,207141,3
206,203454,4
206,207921,5
207,118495,1
207,119273,2
207,118918,3
207,118478,4
207,118494,5
208,202299,1
208,156355,2
208,162369,3
208,159944,4
208,203313,5
209,205926,1
209,202455,2
209,207921,3
209,206907,4
209,206407,5
210,255616,1
210,284672,2
210,280868,3
210,285587,4
210,283239,5
211,205926,1
211,202455,2
211,205845,3
211,236170,4
211,202370,5
212,234633,1
212,234192,2
212,236170,3
212,235443,4
212,237278,5
213,118967,1
213,118914,2
213,9120,3
213,118435,4
213,118416,5
214,32655,1
214,31187,2
214,337263,3
214,330890,4
214,337830,5
215,285587,1
215,255616,2
215,285347,3
215,284845,4
215,336476,5
216,96581,1
216,95722,2
216,96576,3
216,96940,4
216,96210,5
217,233446,1
217,234192,2
217,235443,3
217,233478,4
217,236512,5
218,205876,1
218,285908,2
218,206570,3
218,282785,4
218,208480,5
219,205876,1
219,202676,2
219,209348,3
219,352204,4
219,205845,5
220,280868,1
220,336660,2
220,255616,3
220,286108,4
220,283642,5
221,202299,1
221,202455,2
221,282785,3
221,206162,4
221,205876,5
222,108966,1
222,108856,2
222,108857,3
222,162369,4
222,108849,5
223,206708,1
223,235325,2
223,235808,3
223,118494,4
223,234022,5
224,96581,1
224,95722,2
224,96940,3
224,96960,4
224,96210,5
225,284452,1
225,234633,2
225,235443,3
225,235961,4
225,237429,5
226,292621,1
226,292633,2
226,292924,3
226,293012,4
226,293450,5
227,284452,1
227,208360,2
227,233769,3
227,206120,4
227,234633,5
228,217983,1
228,217906,2
228,218724,3
228,216281,4
228,217823,5
229,208508,1
229,234633,2
229,236171,3
229,235300,4
229,237278,5
230,331538,1
230,332390,2
230,348126,3
230,329749,4
230,348115,5
231,283026,1
231,285446,2
231,282741,3
231,286209,4
231,283239,5
232,145119,1
232,285885,2
232,285384,3
232,145624,4
232,145433,5
233,292980,1
233,314402,2
233,292620,3
233,314413,4
233,292621,5
234,119273,1
234,118773,2
234,118495,3
234,118492,4
234,118633,5
235,255616,1
235,280868,2
235,284547,3
235,283239,4
235,285435,5
236,183690,1
236,181894,2
236,194622,3
236,182057,4
236,186820,5
237,123613,1
237,129482,2
237,123353,3
237,123368,4
237,123290,5
238,292810,1
238,332114,2
238,331242,3
238,293522,4
238,292500,5
239,181134,1
239,162718,2
239,159034,3
239,213562,4
239,182701,5
240,236170,1
240,206162,2
240,233997,3
240,205377,4
240,207129,5
241,203313,1
241,202455,2
241,206315,3
241,206402,4
241,202299,5
242,208508,1
242,202635,2
242,205926,3
242,234192,4
242,159495,5
243,159034,1
243,159299,2
243,157541,3
243,162369,4
243,161100,5
244,83799,1
244,84052,2
244,84301,3
244,83561,4
244,84074,5
245,236527,1
245,236482,2
245,236189,3
245,233446,4
245,237257,5
246,118633,1
246,118589,2
246,119231,3
246,119434,4
246,119273,5
247,234813,1
247,236444,2
247,235285,3
247,234195,4
247,236189,5
248,235808,1
248,304639,2
248,303563,3
248,205845,4
248,202388,5
249,255616,1
249,286077,2
249,283736,3
249,282606,4
249,282750,5
250,207141,1
250,209236,2
250,205926,3
250,206162,4
250,206404,5
251,118495,1
251,237278,2
251,119231,3
251,118494,4
251,235808,5
252,216198,1
252,216211,2
252,215919,3
252,215770,4
252,216183,5
253,234633,1
253,236170,2
253,234192,3
253,202305,4
253,235639,5
254,234768,1
254,237475,2
254,237429,3
254,235468,4
254,202305,5
255,352750,1
255,352757,2
255,331738,3
255,293460,4
255,351908,5
256,108966,1
256,108903,2
256,108859,3
256,282785,4
256,108908,5
257,108856,1
257,108857,2
257,108859,3
257,108966,4
257,108855,5
258,108966,1
258,108856,2
258,108851,3
258,293002,4
258,108855,5
259,129596,1
259,285331,2
259,315104,3
259,336574,4
259,313556,5
260,336660,1
260,285435,2
260,285587,3
260,286077,4
260,284672,5
261,124546,1
261,124617,2
261,123750,3
261,123927,4
261,123960,5
262,96739,1
262,95917,2
262,97520,3
262,95977,4
262,95900,5
263,206162,1
263,208508,2
263,156355,3
263,162369,4
263,234633,5
264,237429,1
264,233446,2
264,236189,3
264,235961,4
264,235135,5
265,208508,1
265,236170,2
265,202299,3
265,205926,4
265,237278,5
266,336574,1
266,336250,2
266,337055,3
266,337867,4
266,337465,5
267,235961,1
267,234192,2
267,235639,3
267,236170,4
267,237293,5
268,209348,1
268,206570,2
268,285908,3
268,205926,4
268,285587,5
269,202299,1
269,162369,2
269,159495,3
269,156355,4
269,282785,5
270,208480,1
270,205876,2
270,285908,3
270,282785,4
270,284452,5
271,289034,1
271,288528,2
271,288260,3
271,332390,4
271,331033,5
272,270204,1
272,270399,2
272,273273,3
272,273348,4
272,274087,5
273,235639,1
273,237293,2
273,236189,3
273,100925,4
273,234195,5
274,283736,1
274,255616,2
274,283239,3
274,282750,4
274,286077,5
275,285056,1
275,206210,2
275,282750,3
275,285023,4
275,285648,5
276,205926,1
276,202455,2
276,206162,3
276,209348,4
276,205845,5
277,234022,1
277,236207,2
277,235300,3
277,236171,4
277,236527,5
278,108966,1
278,108856,2
278,108857,3
278,108849,4
278,108859,5
279,236207,1
279,107207,2
279,106569,3
279,236688,4
279,236613,5
280,205926,1
280,159495,2
280,162369,3
280,209348,4
280,207141,5
281,255207,1
281,255340,2
281,236451,3
281,255160,4
281,255683,5
282,140838,1
282,141406,2
282,141130,3
282,141027,4
282,140445,5
283,208360,1
283,123953,2
283,205845,3
283,123826,4
283,284452,5
284,118683,1
284,119270,2
284,118357,3
284,118478,4
284,118918,5
285,285524,1
285,292690,2
285,292621,3
285,292543,4
285,285902,5
286,352757,1
286,284452,2
286,123960,3
286,336664,4
286,123957,5
287,205926,1
287,207141,2
287,209245,3
287,208547,4
287,119586,5
288,280868,1
288,332390,2
288,331242,3
288,330802,4
288,286077,5
289,336574,1
289,353019,2
289,337166,3
289,351451,4
289,337051,5
290,283642,1
290,282785,2
290,156355,3
290,284452,4
290,283327,5
291,236170,1
291,237278,2
291,236266,3
291,100925,4
291,236189,5
292,255616,1
292,282750,2
292,284474,3
292,285587,4
292,285342,5
293,282750,1
293,284547,2
293,255616,3
293,285342,4
293,224486,5
294,166553,1
294,333699,2
294,107149,3
294,166580,4
294,212022,5
295,282750,1
295,284547,2
295,281241,3
295,285343,4
295,285587,5
296,331738,1
296,280868,2
296,285331,3
296,351908,4
296,283239,5
297,299146,1
297,183690,2
297,300120,3
297,272647,4
297,182701,5
298,208480,1
298,205845,2
298,203313,3
298,205876,4
298,202436,5
299,336877,1
299,336575,2
299,337728,3
299,336221,4
299,338217,5
300,202299,1
300,205926,2
300,282785,3
300,234633,4
300,206162,5
301,16725,1
301,16087,2
301,15624,3
301,15038,4
301,13618,5
302,205926,1
302,205845,2
302,202455,3
302,203313,4
302,207141,5
303,96960,1
303,96653,2
303,95722,3
303,96215,4
303,96073,5
304,284547,1
304,255616,2
304,282750,3
304,285342,4
304,283009,5
305,255616,1
305,123368,2
305,206570,3
305,284406,4
305,285908,5
306,237429,1
306,236882,2
306,235961,3
306,283458,4
306,237452,5
307,286077,1
307,352809,2
307,284944,3
307,283026,4
307,285347,5
308,285331,1
308,206570,2
308,336254,3
308,333959,4
308,286077,5
309,332250,1
309,332108,2
309,332390,3
309,331622,4
309,329749,5
310,336910,1
310,336254,2
310,338523,3
310,333959,4
310,284066,5
311,48124,1
311,48213,2
311,48520,3
311,47683,4
311,48158,5
312,159944,1
312,159495,2
312,157865,3
312,159661,4
312,159938,5
313,282750,1
313,255616,2
313,284452,3
313,284547,4
313,283642,5
314,284452,1
314,285587,2
314,272242,3
314,285908,4
314,285342,5
315,108966,1
315,108851,2
315,108849,3
315,108856,4
315,108859,5
316,108966,1
316,108856,2
316,108857,3
316,108849,4
316,108851,5
317,48520,1
317,48610,2
317,48374,3
317,48213,4
317,47979,5
318,283736,1
318,285587,2
318,284672,3
318,336254,4
318,286077,5
319,202428,1
319,202299,2
319,202338,3
319,202320,4
319,209348,5
320,236170,1
320,234633,2
320,235639,3
320,237278,4
320,234192,5
321,205926,1
321,236170,2
321,234633,3
321,208508,4
321,205845,5
322,108966,1
322,108856,2
322,108857,3
322,108851,4
322,108855,5
323,338164,1
323,333959,2
323,284478,3
323,285347,4
323,285722,5
324,208508,1
324,282785,2
324,159944,3
324,160453,4
324,107001,5
325,270228,1
325,224472,2
325,284452,3
325,271639,4
325,272242,5
326,205876,1
326,284452,2
326,282750,3
326,205926,4
326,285908,5
327,236189,1
327,234022,2
327,236527,3
327,100925,4
327,236207,5
328,63760,1
328,168633,2
328,63783,3
328,162369,4
328,158149,5
329,123374,1
329,36709,2
329,123353,3
329,123290,4
329,133159,5
330,208508,1
330,156355,2
330,234633,3
330,202299,4
330,159495,5
331,284452,1
331,123960,2
331,352757,3
331,331738,4
331,342423,5
332,283736,1
332,208360,2
332,283239,3
332,336254,4
332,283642,5
333,280868,1
333,283239,2
333,285347,3
333,255616,4
333,285331,5
334,286077,1
334,284452,2
334,283026,3
334,284672,4
334,284845,5
335,314413,1
335,330770,2
335,332108,3
335,313556,4
335,331818,5
336,108966,1
336,108851,2
336,284845,3
336,277720,4
336,283026,5
337,108856,1
337,108966,2
337,108857,3
337,108855,4
337,108859,5
338,216195,1
338,218031,2
338,218273,3
338,217810,4
338,225775,5
339,283026,1
339,283162,2
339,283900,3
339,235961,4
339,283327,5
340,162369,1
340,161100,2
340,159034,3
340,166177,4
340,157541,5
341,236170,1
341,234022,2
341,236171,3
341,235808,4
341,234633,5
342,361772,1
342,361441,2
342,360714,3
342,363139,4
342,362607,5
343,352757,1
343,182485,2
343,182125,3
343,184131,4
343,351367,5
344,124546,1
344,123953,2
344,218330,3
344,124755,4
344,123613,5
345,285587,1
345,280868,2
345,255616,3
345,284845,4
345,123613,5
346,96672,1
346,97567,2
346,96210,3
346,96581,4
346,96103,5
347,285587,1
347,285343,2
347,282750,3
347,286077,4
347,285446,5
348,285587,1
348,286077,2
348,255616,3
348,284452,4
348,283736,5
349,205845,1
349,208508,2
349,206162,3
349,207141,4
349,202455,5
350,205926,1
350,207141,2
350,205845,3
350,285908,4
350,282785,5
351,245106,1
351,244744,2
351,244692,3
351,245041,4
351,245128,5
352,236189,1
352,106919,2
352,234268,3
352,236266,4
352,234022,5
353,190703,1
353,190593,2
353,189932,3
353,190660,4
353,190594,5
354,173517,1
354,327850,2
354,174300,3
354,172967,4
354,321369,5
355,194834,1
355,195032,2
355,194322,3
355,284452,4
355,195428,5
356,208480,1
356,205876,2
356,205926,3
356,202299,4
356,205845,5
357,202370,1
357,282785,2
357,202299,3
357,209348,4
357,202455,5
358,108966,1
358,108856,2
358,108857,3
358,108851,4
358,108855,5
359,63644,1
359,71386,2
359,66269,3
359,209245,4
359,202299,5
360,209348,1
360,285360,2
360,285908,3
360,206708,4
360,237278,5
361,202577,1
361,119586,2
361,207397,3
361,118478,4
361,118494,5
362,337051,1
362,336254,2
362,333959,3
362,336250,4
362,337854,5
363,100925,1
363,234192,2
363,208508,3
363,283009,4
363,235616,5
364,57850,1
364,123368,2
364,123953,3
364,123613,4
364,123963,5
365,108966,1
365,293389,2
365,108851,3
365,292851,4
365,293062,5
366,202299,1
366,205876,2
366,282785,3
366,206162,4
366,206120,5
367,48124,1
367,48213,2
367,48158,3
367,48570,4
367,48610,5
368,209348,1
368,284024,2
368,108853,3
368,206210,4
368,205876,5
369,286077,1
369,284452,2
369,283642,3
369,284845,4
369,280868,5
370,118444,1
370,118967,2
370,118773,3
370,119231,4
370,119273,5
371,30169,1
371,237289,2
371,31814,3
371,32502,4
371,31829,5
372,237429,1
372,236681,2
372,283458,3
372,236482,4
372,236189,5
373,108853,1
373,108845,2
373,108966,3
373,108849,4
373,108908,5
374,158915,1
374,282785,2
374,209348,3
374,157541,4
374,159495,5
375,156355,1
375,162369,2
375,162321,3
375,157541,4
375,157748,5
376,255616,1
376,284547,2
376,284478,3
376,284346,4
376,284474,5
377,235639,1
377,284452,2
377,235961,3
377,234633,4
377,236681,5
378,337166,1
378,336660,2
378,337051,3
378,336664,4
378,337867,5
379,236171,1
379,208508,2
379,235961,3
379,234633,4
379,235300,5
380,100925,1
380,237752,2
380,234195,3
380,237293,4
380,106919,5
381,123368,1
381,124755,2
381,124546,3
381,141416,4
381,123957,5
382,224763,1
382,209334,2
382,272242,3
382,224968,4
382,223592,5
383,353114,1
383,338164,2
383,129482,3
383,331818,4
383,324725,5
384,281522,1
384,87223,2
384,86946,3
384,87173,4
384,100904,5
385,108966,1
385,364043,2
385,292776,3
385,292338,4
385,293123,5
386,198422,1
386,198822,2
386,255704,3
386,198420,4
386,199153,5
387,100925,1
387,236527,2
387,237278,3
387,234195,4
387,236266,5
388,205926,1
388,205845,2
388,202299,3
388,207141,4
388,202370,5
389,292981,1
389,308099,2
389,277157,3
389,351993,4
389,293460,5
390,96672,1
390,96210,2
390,95977,3
390,96418,4
390,96244,5
391,157541,1
391,156355,2
391,162369,3
391,159495,4
391,161100,5
392,282785,1
392,208480,2
392,205926,3
392,205876,4
392,283642,5
393,282750,1
393,283239,2
393,283026,3
393,255616,4
393,284672,5
394,336664,1
394,336254,2
394,336574,3
394,336698,4
394,337575,5
395,205926,1
395,236170,2
395,209348,3
395,205845,4
395,282785,5
396,31251,1
396,32502,2
396,31927,3
396,32634,4
396,29871,5
397,108849,1
397,108859,2
397,108857,3
397,108908,4
397,108853,5
398,234633,1
398,208508,2
398,236512,3
398,235961,4
398,237452,5
399,282750,1
399,283327,2
399,284474,3
